Date,Price,Open,High,Low,Vol.,
"Jun 30, 2020",9135.40,9186.00,9199.80,9075.30,381.73K,
"Jun 29, 2020",9185.40,9122.80,9229.10,9033.60,401.12K,
"Jun 28, 2020",9124.00,9008.40,9185.50,8950.20,329.01K,
"Jun 27, 2020",9008.30,9160.50,9190.50,8865.30,441.93K,
"Jun 26, 2020",9160.00,9247.50,9296.50,9060.10,489.84K,
"Jun 25, 2020",9247.50,9300.80,9327.30,9022.60,524.45K,
"Jun 24, 2020",9302.00,9624.60,9667.40,9223.00,515.78K,
"Jun 23, 2020",9624.60,9683.90,9715.60,9581.80,375.49K,
"Jun 22, 2020",9683.70,9296.50,9751.90,9285.80,523.32K,
"Jun 21, 2020",9296.40,9358.80,9411.20,9288.50,335.99K,
"Jun 20, 2020",9358.80,9314.00,9394.50,9199.80,383.44K,
"Jun 19, 2020",9314.00,9390.30,9424.00,9249.60,478.49K,
"Jun 18, 2020",9388.10,9464.60,9480.40,9289.30,391.67K,
"Jun 17, 2020",9464.60,9523.60,9543.60,9258.20,446.45K,
"Jun 16, 2020",9523.50,9425.60,9577.10,9379.30,545.47K,
"Jun 15, 2020",9425.40,9345.50,9489.70,8925.60,750.90K,
"Jun 14, 2020",9345.30,9470.70,9474.70,9264.40,311.27K,
"Jun 13, 2020",9471.30,9466.50,9484.90,9369.90,364.97K,
"Jun 12, 2020",9466.60,9283.70,9547.50,9249.40,529.28K,
"Jun 11, 2020",9283.20,9878.90,9945.20,9139.10,919.30K,
"Jun 10, 2020",9878.80,9768.80,9970.90,9710.70,533.55K,
"Jun 09, 2020",9768.80,9777.70,9857.20,9616.60,479.55K,
"Jun 08, 2020",9777.90,9743.40,9788.20,9662.30,431.04K,
"Jun 07, 2020",9742.60,9669.60,9791.80,9417.40,549.20K,
"Jun 06, 2020",9669.60,9630.80,9733.10,9549.50,370.85K,
"Jun 05, 2020",9631.20,9794.00,9846.10,9628.70,527.05K,
"Jun 04, 2020",9794.40,9667.20,9864.40,9490.90,593.66K,
"Jun 03, 2020",9667.20,9527.00,9667.20,9421.70,558.12K,
"Jun 02, 2020",9527.60,10190.70,10207.30,9347.30,1.06M,
"Jun 01, 2020",10189.30,9454.50,10301.80,9429.70,796.68K,
"May 31, 2020",9454.80,9692.90,9695.60,9406.20,645.27K,
"May 30, 2020",9692.50,9424.80,9729.90,9352.70,720.62K,
"May 29, 2020",9424.80,9573.40,9596.50,9358.10,814.33K,
"May 28, 2020",9572.20,9199.80,9610.80,9119.20,948.86K,
"May 27, 2020",9199.10,8842.30,9210.90,8818.60,810.89K,
"May 26, 2020",8842.50,8897.70,8994.60,8713.90,784.92K,
"May 25, 2020",8898.20,8728.00,8959.50,8666.10,941.89K,
"May 24, 2020",8728.20,9177.90,9292.00,8724.10,1.11M,
"May 23, 2020",9177.00,9169.80,9303.20,9098.90,812.56K,
"May 22, 2020",9169.70,9058.20,9253.50,8952.10,914.59K,
"May 21, 2020",9059.00,9511.60,9567.10,8833.60,1.41M,
"May 20, 2020",9512.30,9773.00,9829.30,9368.40,1.15M,
"May 19, 2020",9773.30,9730.80,9883.90,9498.70,1.16M,
"May 18, 2020",9730.70,9678.40,9930.20,9524.40,1.18M,
"May 17, 2020",9677.70,9376.60,9866.00,9327.80,1.18M,
"May 16, 2020",9379.50,9318.10,9579.00,9233.00,1.10M,
"May 15, 2020",9318.00,9778.60,9819.60,9223.20,1.56M,
"May 14, 2020",9778.40,9298.70,9887.50,9265.80,1.77M,
"May 13, 2020",9298.70,8813.90,9384.60,8799.10,1.50M,
"May 12, 2020",8813.80,8569.80,8964.50,8542.80,1.35M,
"May 11, 2020",8579.80,8737.60,9129.60,8235.60,2.29M,
"May 10, 2020",8738.80,9553.90,9569.40,8259.30,2.47M,
"May 09, 2020",9554.60,9806.00,9910.50,9533.60,1.49M,
"May 08, 2020",9806.20,9980.10,10018.20,9731.40,1.42M,
"May 07, 2020",9979.80,9152.70,10033.00,9064.80,1.91M,
"May 06, 2020",9151.40,9000.60,9373.70,8923.60,1.62M,
"May 05, 2020",9001.00,8874.20,9078.70,8800.40,1.05M,
"May 04, 2020",8874.70,8885.50,8945.50,8553.20,1.12M,
"May 03, 2020",8885.50,8966.20,9169.90,8742.20,1.15M,
"May 02, 2020",8966.30,8821.60,8986.20,8771.30,890.34K,
"May 01, 2020",8821.60,8628.60,9040.30,8621.00,1.11M,
"Apr 30, 2020",8629.00,8770.60,9437.50,8425.50,2.04M,
"Apr 29, 2020",8770.90,7746.70,8918.50,7729.70,1.83M,
"Apr 28, 2020",7746.90,7766.00,7770.10,7655.30,808.09K,
"Apr 27, 2020",7766.00,7679.40,7768.50,7637.70,980.50K,
"Apr 26, 2020",7678.90,7540.40,7679.40,7520.50,921.59K,
"Apr 25, 2020",7540.40,7503.90,7684.60,7451.00,861.93K,
"Apr 24, 2020",7503.80,7491.30,7583.50,7423.50,951.95K,
"Apr 23, 2020",7488.50,7112.80,7655.40,7036.50,1.34M,
"Apr 22, 2020",7112.90,6842.50,7137.40,6821.80,914.18K,
"Apr 21, 2020",6842.50,6833.40,6919.30,6774.30,892.57K,
"Apr 20, 2020",6833.50,7122.90,7207.50,6771.20,1.26M,
"Apr 19, 2020",7122.90,7230.90,7238.00,7079.10,5.93M,
"Apr 18, 2020",7230.80,7035.90,7259.40,7031.50,796.45K,
"Apr 17, 2020",7035.80,7085.50,7142.80,7005.80,810.10K,
"Apr 16, 2020",7085.60,6629.10,7159.70,6520.50,1.54M,
"Apr 15, 2020",6629.10,6851.30,6929.50,6615.90,1.00M,
"Apr 14, 2020",6850.90,6841.80,6970.80,6768.60,999.53K,
"Apr 13, 2020",6841.30,6918.10,6920.30,6618.50,1.25M,
"Apr 12, 2020",6917.60,6867.90,7158.80,6785.10,1.10M,
"Apr 11, 2020",6867.80,6862.70,6931.40,6765.10,845.58K,
"Apr 10, 2020",6863.10,7289.00,7294.40,6756.10,1.37M,
"Apr 09, 2020",7289.00,7361.10,7361.10,7140.30,963.55K,
"Apr 08, 2020",7361.20,7185.60,7396.10,7153.10,983.94K,
"Apr 07, 2020",7185.20,7332.30,7440.30,7101.70,1.32M,
"Apr 06, 2020",7332.30,6772.80,7335.00,6770.10,1.53M,
"Apr 05, 2020",6772.70,6857.50,6889.40,6686.00,842.33K,
"Apr 04, 2020",6857.40,6735.90,6958.60,6679.10,1.05M,
"Apr 03, 2020",6735.90,6799.90,7026.30,6623.60,1.35M,
"Apr 02, 2020",6800.50,6638.80,7182.70,6567.90,1.74M,
"Apr 01, 2020",6638.50,6412.40,6661.30,6157.40,1.40M,
"Mar 31, 2020",6412.50,6391.10,6513.10,6346.30,1.05M,
"Mar 30, 2020",6391.00,5890.40,6576.50,5872.50,1.43M,
"Mar 29, 2020",5890.40,6233.20,6258.80,5889.30,916.17K,
"Mar 28, 2020",6233.70,6373.40,6374.30,6046.50,1.26M,
"Mar 27, 2020",6373.40,6725.50,6813.70,6322.30,1.16M,
"Mar 26, 2020",6725.10,6677.90,6772.90,6541.70,1.18M,
"Mar 25, 2020",6678.90,6744.80,6930.20,6474.60,1.52M,
"Mar 24, 2020",6744.60,6468.80,6814.20,6380.80,1.73M,
"Mar 23, 2020",6468.90,5822.00,6564.70,5710.80,1.88M,
"Mar 22, 2020",5822.10,6186.90,6394.40,5771.20,1.48M,
"Mar 21, 2020",6186.20,6205.60,6438.30,5887.00,1.64M,
"Mar 20, 2020",6205.30,6171.60,6858.10,5748.20,2.22M,
"Mar 19, 2020",6172.00,5359.20,6379.50,5256.00,2.18M,
"Mar 18, 2020",5361.40,5260.70,5373.10,5020.90,1.80M,
"Mar 17, 2020",5261.10,5030.20,5432.80,4946.50,1.89M,
"Mar 16, 2020",5030.00,5366.40,5369.30,4477.70,2.55M,
"Mar 15, 2020",5366.30,5182.90,5863.30,5120.60,1.61M,
"Mar 14, 2020",5182.70,5589.40,5634.90,5072.20,1.69M,
"Mar 13, 2020",5584.30,4815.20,5934.30,3869.50,4.17M,
"Mar 12, 2020",4826.00,7935.20,7963.10,4546.60,3.22M,
"Mar 11, 2020",7935.10,7892.10,7976.50,7606.00,1.10M,
"Mar 10, 2020",7891.20,7933.00,8145.50,7740.20,1.20M,
"Mar 09, 2020",7933.00,8035.80,8158.80,7648.70,1.54M,
"Mar 08, 2020",8034.10,8887.80,8888.00,8015.30,1.11M,
"Mar 07, 2020",8887.80,9134.20,9180.80,8848.70,750.65K,
"Mar 06, 2020",9134.80,9060.60,9165.20,9004.90,1.04M,
"Mar 05, 2020",9060.30,8757.90,9147.30,8751.50,950.76K,
"Mar 04, 2020",8757.90,8761.30,8840.30,8679.70,759.69K,
"Mar 03, 2020",8761.40,8906.10,8911.70,8669.30,1.01M,
"Mar 02, 2020",8904.80,8537.50,8961.80,8503.10,1.02M,
"Mar 01, 2020",8540.00,8543.80,8737.20,8437.20,784.05K,
"Feb 29, 2020",8543.70,8697.10,8793.70,8539.80,683.44K,
"Feb 28, 2020",8697.50,8820.10,8898.70,8451.90,1.08M,
"Feb 27, 2020",8818.60,8800.10,8968.30,8538.50,1.13M,
"Feb 26, 2020",8800.30,9317.10,9368.10,8672.00,1.32M,
"Feb 25, 2020",9317.20,9662.60,9672.30,9269.80,937.97K,
"Feb 24, 2020",9662.70,9943.20,9981.00,9507.00,980.00K,
"Feb 23, 2020",9942.70,9655.60,9965.60,9653.40,775.88K,
"Feb 22, 2020",9655.70,9684.50,9706.50,9569.80,589.88K,
"Feb 21, 2020",9684.50,9602.20,9747.10,9574.50,716.61K,
"Feb 20, 2020",9602.40,9611.90,9681.40,9448.90,870.80K,
"Feb 19, 2020",9609.40,10158.60,10230.90,9424.30,905.95K,
"Feb 18, 2020",10158.40,9701.50,10230.10,9601.60,945.91K,
"Feb 17, 2020",9701.40,9931.70,9951.50,9468.90,961.88K,
"Feb 16, 2020",9932.30,9907.40,10056.40,9654.90,808.91K,
"Feb 15, 2020",9907.70,10336.00,10369.80,9831.70,808.81K,
"Feb 14, 2020",10333.00,10235.50,10372.40,10125.20,732.51K,
"Feb 13, 2020",10235.10,10321.90,10482.60,10116.90,940.30K,
"Feb 12, 2020",10317.70,10229.30,10435.60,10229.30,803.25K,
"Feb 11, 2020",10229.50,9854.00,10314.10,9725.10,791.28K,
"Feb 10, 2020",9854.10,10151.50,10181.70,9774.80,781.22K,
"Feb 09, 2020",10151.50,9895.40,10157.10,9882.70,617.35K,
"Feb 08, 2020",9895.50,9817.30,9931.20,9673.20,551.31K,
"Feb 07, 2020",9818.60,9771.90,9872.50,9738.70,608.96K,
"Feb 06, 2020",9772.00,9611.80,9854.90,9536.10,778.67K,
"Feb 05, 2020",9611.80,9194.10,9726.80,9179.90,771.46K,
"Feb 04, 2020",9193.90,9296.50,9347.50,9193.90,651.68K,
"Feb 03, 2020",9296.60,9334.60,9582.80,9243.10,701.39K,
"Feb 02, 2020",9334.90,9381.50,9465.40,9183.10,683.37K,
"Feb 01, 2020",9381.60,9349.30,9458.80,9301.50,458.42K,
"Jan 31, 2020",9349.10,9508.30,9525.00,9222.30,633.37K,
"Jan 30, 2020",9507.30,9299.10,9569.00,9209.20,765.21K,
"Jan 29, 2020",9298.90,9377.30,9428.70,9250.90,749.88K,
"Jan 28, 2020",9377.30,8866.60,9389.50,8866.60,954.20K,
"Jan 27, 2020",8866.60,8608.10,8983.10,8585.60,706.45K,
"Jan 26, 2020",8607.80,8341.60,8607.80,8304.90,468.34K,
"Jan 25, 2020",8341.60,8439.90,8447.60,8277.20,444.00K,
"Jan 24, 2020",8439.90,8404.90,8522.00,8242.60,617.02K,
"Jan 23, 2020",8405.10,8678.50,8687.30,8309.60,722.67K,
"Jan 22, 2020",8678.50,8733.00,8805.40,8610.80,509.06K,
"Jan 21, 2020",8732.60,8642.00,8770.30,8524.00,540.20K,
"Jan 20, 2020",8641.90,8705.70,8740.10,8539.20,599.06K,
"Jan 19, 2020",8706.20,8916.30,9183.70,8552.80,975.01K,
"Jan 18, 2020",8916.30,8913.00,8982.30,8814.60,627.74K,
"Jan 17, 2020",8913.10,8726.70,9005.10,8675.90,794.11K,
"Jan 16, 2020",8726.90,8818.10,8850.00,8605.80,748.32K,
"Jan 15, 2020",8818.30,8827.90,8904.00,8615.50,1.17M,
"Jan 14, 2020",8829.20,8111.20,8898.70,8111.20,1.48M,
"Jan 13, 2020",8111.40,8188.30,8196.70,8068.40,610.66K,
"Jan 12, 2020",8187.60,8023.30,8189.90,7973.10,595.22K,
"Jan 11, 2020",8024.10,8187.80,8262.90,8008.40,776.75K,
"Jan 10, 2020",8187.10,7842.50,8187.40,7697.70,1.05M,
"Jan 09, 2020",7842.40,8060.00,8065.90,7779.20,786.50K,
"Jan 08, 2020",8059.60,8154.20,8436.40,7900.80,1.19M,
"Jan 07, 2020",8155.70,7759.10,8182.00,7754.10,1.01M,
"Jan 06, 2020",7759.10,7372.60,7783.10,7366.70,786.75K,
"Jan 05, 2020",7372.50,7376.80,7501.00,7345.60,628.14K,
"Jan 04, 2020",7376.80,7345.10,7433.10,7291.40,523.91K,
"Jan 03, 2020",7343.10,6967.10,7402.90,6884.10,936.29K,
"Jan 02, 2020",6967.00,7199.70,7209.60,6901.40,632.78K,
"Jan 01, 2020",7199.80,7196.40,7259.40,7180.00,420.28K,
"Dec 31, 2019",7196.40,7261.50,7331.00,7167.40,586.60K,
"Dec 30, 2019",7261.80,7397.50,7420.90,7244.10,606.11K,
"Dec 29, 2019",7397.50,7321.60,7518.90,7303.00,611.69K,
"Dec 28, 2019",7321.50,7261.90,7375.90,7256.50,610.96K,
"Dec 27, 2019",7261.70,7210.80,7293.80,7128.50,718.07K,
"Dec 26, 2019",7210.90,7225.00,7414.30,7177.30,795.09K,
"Dec 25, 2019",7224.80,7268.30,7542.40,7150.90,625.41K,
"Dec 24, 2019",7268.30,7322.40,7433.20,7185.70,785.54K,
"Dec 23, 2019",7322.80,7496.20,7684.00,7276.20,952.16K,
"Dec 22, 2019",7495.80,7156.30,7501.10,7142.00,677.94K,
"Dec 21, 2019",7156.20,7196.40,7197.60,7129.60,468.74K,
"Dec 20, 2019",7196.40,7165.50,7218.40,7107.70,627.04K,
"Dec 19, 2019",7165.50,7276.40,7354.00,7039.30,778.72K,
"Dec 18, 2019",7276.00,6613.50,7387.70,6462.20,1.14M,
"Dec 17, 2019",6613.30,6903.50,6943.50,6575.00,894.55K,
"Dec 16, 2019",6903.50,7128.50,7153.10,6864.60,689.56K,
"Dec 15, 2019",7128.50,7080.80,7175.80,7033.80,492.58K,
"Dec 14, 2019",7080.80,7255.20,7267.40,7043.30,524.56K,
"Dec 13, 2019",7255.20,7208.40,7288.00,7200.30,503.49K,
"Dec 12, 2019",7208.00,7208.00,7272.40,7124.60,611.80K,
"Dec 11, 2019",7208.00,7235.80,7284.40,7168.80,518.40K,
"Dec 10, 2019",7235.70,7356.20,7400.30,7192.10,609.50K,
"Dec 09, 2019",7355.80,7524.80,7626.00,7321.60,648.66K,
"Dec 08, 2019",7524.40,7510.80,7576.40,7416.70,499.04K,
"Dec 07, 2019",7510.90,7530.40,7595.70,7489.60,557.14K,
"Dec 06, 2019",7530.80,7399.20,7552.10,7329.80,706.10K,
"Dec 05, 2019",7399.20,7204.60,7476.30,7184.00,780.78K,
"Dec 04, 2019",7204.40,7291.90,7702.20,7113.60,971.75K,
"Dec 03, 2019",7291.80,7298.10,7389.40,7227.10,548.77K,
"Dec 02, 2019",7298.20,7395.90,7433.80,7173.60,687.78K,
"Dec 01, 2019",7396.40,7546.50,7546.50,7244.40,777.00K,
"Nov 30, 2019",7546.60,7742.70,7787.70,7472.70,650.60K,
"Nov 29, 2019",7742.70,7426.60,7825.30,7412.30,766.71K,
"Nov 28, 2019",7426.70,7510.60,7639.50,7380.60,737.58K,
"Nov 27, 2019",7510.60,7162.80,7636.90,6875.40,996.49K,
"Nov 26, 2019",7162.80,7115.50,7329.50,7045.10,844.27K,
"Nov 25, 2019",7115.60,6924.70,7352.80,6534.80,1.29M,
"Nov 24, 2019",6924.70,7325.00,7344.10,6894.90,904.50K,
"Nov 23, 2019",7324.10,7271.60,7342.50,7093.70,783.18K,
"Nov 22, 2019",7272.50,7627.90,7700.90,6818.50,1.41M,
"Nov 21, 2019",7627.90,8099.40,8129.60,7519.70,891.50K,
"Nov 20, 2019",8099.30,8145.70,8223.00,8074.20,607.27K,
"Nov 19, 2019",8145.70,8207.70,8245.60,8032.80,654.27K,
"Nov 18, 2019",8208.40,8510.30,8516.30,8110.40,692.60K,
"Nov 17, 2019",8509.80,8497.40,8631.70,8413.00,531.22K,
"Nov 16, 2019",8497.30,8476.20,8532.80,8450.70,471.16K,
"Nov 15, 2019",8476.30,8660.80,8761.80,8437.10,653.71K,
"Nov 14, 2019",8661.20,8782.90,8799.80,8615.80,515.43K,
"Nov 13, 2019",8783.10,8813.20,8829.70,8721.10,454.33K,
"Nov 12, 2019",8812.60,8737.40,8841.20,8615.70,575.16K,
"Nov 11, 2019",8736.90,9036.90,9066.40,8649.40,601.16K,
"Nov 10, 2019",9036.80,8804.70,9092.90,8763.50,581.57K,
"Nov 09, 2019",8804.50,8778.10,8877.50,8746.90,512.02K,
"Nov 08, 2019",8778.20,9223.60,9254.80,8722.40,791.79K,
"Nov 07, 2019",9223.50,9339.20,9367.00,9130.00,603.54K,
"Nov 06, 2019",9338.90,9311.20,9424.60,9262.70,578.03K,
"Nov 05, 2019",9310.80,9396.10,9452.70,9193.90,653.42K,
"Nov 04, 2019",9396.40,9198.70,9500.40,9134.10,681.01K,
"Nov 03, 2019",9198.30,9300.50,9359.10,9095.00,536.56K,
"Nov 02, 2019",9300.60,9230.30,9356.70,9201.20,570.74K,
"Nov 01, 2019",9230.10,9153.10,9270.40,9057.20,689.65K,
"Oct 31, 2019",9152.60,9157.90,9378.90,8959.60,798.93K,
"Oct 30, 2019",9157.90,9411.30,9411.30,9018.40,789.73K,
"Oct 29, 2019",9411.30,9206.50,9531.30,9125.30,918.48K,
"Oct 28, 2019",9207.20,9530.10,9866.90,9202.50,1.04M,
"Oct 27, 2019",9529.60,9230.60,9773.20,9081.00,1.16M,
"Oct 26, 2019",9230.60,8658.40,10540.00,8061.80,1.78M,
"Oct 25, 2019",8658.30,7422.80,8697.70,7404.90,1.18M,
"Oct 24, 2019",7422.70,7476.80,7501.50,7366.30,586.49K,
"Oct 23, 2019",7477.00,8031.00,8055.00,7329.20,892.08K,
"Oct 22, 2019",8031.40,8207.40,8289.10,8017.70,570.39K,
"Oct 21, 2019",8208.20,8224.10,8315.30,8155.70,489.40K,
"Oct 20, 2019",8223.40,7957.40,8288.50,7889.60,513.91K,
"Oct 19, 2019",7957.30,7948.30,8060.20,7892.40,428.83K,
"Oct 18, 2019",7948.50,8073.30,8116.40,7842.00,505.79K,
"Oct 17, 2019",8073.30,8000.40,8118.20,7944.40,444.95K,
"Oct 16, 2019",8000.40,8167.10,8185.90,7929.80,538.92K,
"Oct 15, 2019",8167.20,8353.40,8400.20,8139.50,469.73K,
"Oct 14, 2019",8353.30,8281.30,8374.30,8222.20,505.02K,
"Oct 13, 2019",8281.50,8304.30,8450.20,8190.60,419.87K,
"Oct 12, 2019",8304.40,8267.60,8394.80,8260.90,424.02K,
"Oct 11, 2019",8267.80,8562.20,8751.10,8249.70,667.86K,
"Oct 10, 2019",8562.30,8566.80,8638.50,8438.70,511.46K,
"Oct 09, 2019",8566.70,8180.10,8655.90,8122.70,636.43K,
"Oct 08, 2019",8182.90,8198.50,8323.10,8118.10,469.04K,
"Oct 07, 2019",8198.60,7882.60,8293.50,7797.00,604.74K,
"Oct 06, 2019",7881.90,8127.30,8145.50,7834.90,448.80K,
"Oct 05, 2019",8127.30,8148.00,8185.10,8030.60,360.92K,
"Oct 04, 2019",8148.10,8227.60,8233.60,8041.40,416.92K,
"Oct 03, 2019",8226.90,8363.60,8391.70,8090.10,460.97K,
"Oct 02, 2019",8364.10,8302.70,8374.00,8167.70,405.86K,
"Oct 01, 2019",8302.70,8285.00,8486.20,8187.90,533.95K,
"Sep 30, 2019",8284.30,8048.90,8318.50,7749.00,600.26K,
"Sep 29, 2019",8049.10,8208.00,8226.80,7922.10,418.48K,
"Sep 28, 2019",8208.50,8184.50,8297.20,8031.10,457.79K,
"Sep 27, 2019",8184.90,8063.80,8257.40,7882.10,561.40K,
"Sep 26, 2019",8063.80,8432.50,8463.10,7773.60,731.03K,
"Sep 25, 2019",8432.40,8512.30,8729.80,8245.10,696.11K,
"Sep 24, 2019",8513.90,9702.70,9793.80,8069.40,933.16K,
"Sep 23, 2019",9702.20,10031.30,10048.80,9656.30,431.10K,
"Sep 22, 2019",10031.60,9993.00,10075.00,9870.90,337.06K,
"Sep 21, 2019",9993.00,10172.80,10177.90,9939.80,326.17K,
"Sep 20, 2019",10172.70,10251.50,10279.50,10088.60,362.07K,
"Sep 19, 2019",10250.50,10164.60,10297.60,9707.60,542.25K,
"Sep 18, 2019",10164.70,10195.70,10257.50,10119.30,318.82K,
"Sep 17, 2019",10195.70,10254.60,10273.60,10153.50,321.64K,
"Sep 16, 2019",10255.50,10311.30,10360.50,10108.50,372.53K,
"Sep 15, 2019",10311.50,10337.30,10360.40,10272.00,255.79K,
"Sep 14, 2019",10337.30,10342.20,10421.40,10253.70,326.44K,
"Sep 13, 2019",10342.10,10415.20,10441.40,10174.10,365.52K,
"Sep 12, 2019",10415.10,10162.40,10447.90,10051.00,413.22K,
"Sep 11, 2019",10162.50,10104.90,10257.50,9908.90,413.06K,
"Sep 10, 2019",10105.40,10308.70,10379.80,9970.70,383.22K,
"Sep 09, 2019",10309.00,10402.10,10478.00,10095.70,473.76K,
"Sep 08, 2019",10402.80,10461.60,10578.00,10266.30,339.73K,
"Sep 07, 2019",10461.10,10306.90,10556.40,10302.30,393.57K,
"Sep 06, 2019",10309.30,10566.70,10896.20,10227.40,643.02K,
"Sep 05, 2019",10566.90,10567.80,10630.70,10469.90,402.09K,
"Sep 04, 2019",10568.20,10611.60,10783.60,10388.60,504.45K,
"Sep 03, 2019",10612.30,10348.10,10756.80,10283.50,578.79K,
"Sep 02, 2019",10348.80,9728.80,10431.50,9720.30,542.79K,
"Sep 01, 2019",9729.30,9594.70,9799.50,9533.60,322.66K,
"Aug 31, 2019",9594.40,9585.50,9677.50,9457.30,311.49K,
"Aug 30, 2019",9585.40,9494.10,9675.70,9370.20,413.92K,
"Aug 29, 2019",9491.00,9729.10,9729.10,9343.00,509.13K,
"Aug 28, 2019",9729.40,10184.70,10271.30,9629.60,580.29K,
"Aug 27, 2019",10184.80,10372.20,10387.60,10060.20,419.81K,
"Aug 26, 2019",10371.80,10136.00,10568.20,10136.00,568.77K,
"Aug 25, 2019",10136.30,10132.10,10307.00,9935.20,422.53K,
"Aug 24, 2019",10131.00,10389.40,10415.90,9917.50,463.85K,
"Aug 23, 2019",10388.70,10104.90,10434.30,9921.40,436.26K,
"Aug 22, 2019",10105.00,10141.10,10218.20,9777.00,520.75K,
"Aug 21, 2019",10141.50,10753.30,10797.80,9908.00,717.65K,
"Aug 20, 2019",10752.60,10911.20,10941.60,10581.00,515.47K,
"Aug 19, 2019",10910.70,10312.80,10923.90,10267.80,519.01K,
"Aug 18, 2019",10312.70,10219.30,10494.90,10086.70,441.11K,
"Aug 17, 2019",10218.10,10335.50,10460.70,10016.30,497.77K,
"Aug 16, 2019",10335.60,10300.90,10734.00,9788.60,798.67K,
"Aug 15, 2019",10303.40,10053.30,10448.20,9580.10,930.05K,
"Aug 14, 2019",10049.40,10894.20,10894.50,9965.50,745.59K,
"Aug 13, 2019",10892.90,11395.00,11445.60,10793.20,540.78K,
"Aug 12, 2019",11394.20,11505.10,11508.60,11267.30,391.08K,
"Aug 11, 2019",11517.20,11314.60,11728.40,11146.10,435.83K,
"Aug 10, 2019",11314.50,12090.50,12185.00,11281.60,570.74K,
"Aug 09, 2019",12089.80,12190.00,12225.30,11885.00,558.72K,
"Aug 08, 2019",12191.60,12015.90,12236.60,11727.00,592.15K,
"Aug 07, 2019",12013.90,11481.00,12114.50,11406.40,702.85K,
"Aug 06, 2019",11480.90,11817.60,12291.90,11237.00,807.58K,
"Aug 05, 2019",11816.80,10934.80,11922.30,10934.80,769.63K,
"Aug 04, 2019",10934.60,10816.10,11017.70,10568.80,585.71K,
"Aug 03, 2019",10815.70,10519.90,10893.60,10504.50,508.75K,
"Aug 02, 2019",10520.10,10380.50,10664.80,10330.50,578.29K,
"Aug 01, 2019",10380.00,10081.90,10459.00,9890.60,608.37K,
"Jul 31, 2019",10082.00,9580.30,10100.00,9562.40,589.84K,
"Jul 30, 2019",9580.70,9580.00,9703.00,9483.00,511.51K,
"Jul 29, 2019",9580.90,9728.50,9835.40,9502.50,510.90K,
"Jul 28, 2019",9727.80,9491.10,9798.50,9401.10,518.59K,
"Jul 27, 2019",9492.10,9830.40,10232.30,9389.10,661.89K,
"Jul 26, 2019",9831.00,9945.20,10436.10,9724.20,493.75K,
"Jul 25, 2019",9945.30,9804.70,10203.50,9776.60,545.85K,
"Jul 24, 2019",9804.30,9887.20,9945.30,9584.00,639.54K,
"Jul 23, 2019",9888.70,10412.80,10414.70,9865.40,663.38K,
"Jul 22, 2019",10412.50,10715.10,10806.30,10196.50,591.27K,
"Jul 21, 2019",10714.40,10827.00,10883.80,10442.50,562.17K,
"Jul 20, 2019",10826.70,10571.90,11155.60,10462.00,668.94K,
"Jul 19, 2019",10571.50,10651.60,10758.40,10160.70,727.79K,
"Jul 18, 2019",10651.40,9723.10,10787.10,9390.00,974.49K,
"Jul 17, 2019",9723.20,9425.10,9983.60,9082.60,1.03M,
"Jul 16, 2019",9424.80,10844.00,11019.50,9375.30,1.05M,
"Jul 15, 2019",10845.90,10199.90,11064.70,9885.40,956.52K,
