Date,Symbol,Open,High,Low,Close,Volume,Market Cap
18-01-2018,BTC,11198.8,12107.3,10942.5,11474.9,15020399616,1.88242E+11
19-01-2018,BTC,11429.8,11992.8,11172.1,11607.4,10740400128,1.9215E+11
20-01-2018,BTC,11656.2,13103,11656.2,12899.2,11801700352,1.95979E+11
21-01-2018,BTC,12889.2,12895.9,11288.2,11600.1,9935179776,2.1674E+11
22-01-2018,BTC,11633.1,11966.4,10240.2,10931.4,10537400320,1.95645E+11
23-01-2018,BTC,10944.5,11377.6,10129.7,10868.4,9660609536,1.84087E+11
24-01-2018,BTC,10903.4,11501.4,10639.8,11359.4,9940989952,1.83419E+11
25-01-2018,BTC,11421.7,11785.7,11057.4,11259.4,8873169920,1.92163E+11
26-01-2018,BTC,11256,11656.7,10470.3,11171.4,9746199552,1.89398E+11
27-01-2018,BTC,11174.9,11614.9,10989.2,11440.7,7583269888,1.88054E+11
28-01-2018,BTC,11475.3,12040.3,11475.3,11786.3,8350360064,1.93133E+11
29-01-2018,BTC,11755.5,11875.6,11179.2,11296.4,7107359744,1.97871E+11
30-01-2018,BTC,11306.8,11307.2,10036.2,10106.3,8637859840,1.90339E+11
31-01-2018,BTC,10108.2,10381.6,9777.42,10221.1,8041160192,1.70183E+11
01-02-2018,BTC,10237.3,10288.8,8812.28,9170.54,9959400448,1.72372E+11
02-02-2018,BTC,9142.28,9142.28,7796.49,8830.75,12726899712,1.53953E+11
03-02-2018,BTC,8852.12,9430.75,8251.63,9174.91,7263790080,1.49085E+11
04-02-2018,BTC,9175.7,9334.87,8031.22,8277.01,7073549824,1.54553E+11
05-02-2018,BTC,8270.54,8364.84,6756.68,6955.27,9285289984,1.39325E+11
06-02-2018,BTC,7051.75,7850.7,6048.26,7754,13999800320,1.1881E+11
07-02-2018,BTC,7755.49,8509.11,7236.79,7621.3,9169280000,1.30683E+11
08-02-2018,BTC,7637.86,8558.77,7637.86,8265.59,9346750464,1.28714E+11
09-02-2018,BTC,8271.84,8736.98,7884.71,8736.98,6784820224,1.39412E+11
10-02-2018,BTC,8720.08,9122.55,8295.47,8621.9,7780960256,1.46981E+11
11-02-2018,BTC,8616.13,8616.13,7931.1,8129.97,6122189824,1.45245E+11
12-02-2018,BTC,8141.43,8985.92,8141.43,8926.57,6256439808,1.37258E+11
13-02-2018,BTC,8926.72,8958.47,8455.41,8598.31,5696719872,1.50516E+11
14-02-2018,BTC,8599.92,9518.54,8599.92,9494.63,7909819904,1.45023E+11
15-02-2018,BTC,9488.32,10234.8,9395.58,10166.4,9062540288,1.60025E+11
16-02-2018,BTC,10135.7,10324.1,9824.82,10233.9,7296159744,1.7096E+11
17-02-2018,BTC,10207.5,11139.5,10149.4,11112.7,8660880384,1.72191E+11
18-02-2018,BTC,11123.4,11349.8,10326,10551.8,8744009728,1.87663E+11
19-02-2018,BTC,10552.6,11273.8,10513.2,11225.3,7652089856,1.78055E+11
20-02-2018,BTC,11231.8,11958.5,11231.8,11403.7,9926540288,1.89536E+11
21-02-2018,BTC,11372.2,11418.5,10479.1,10690.4,9405339648,1.91927E+11
22-02-2018,BTC,10660.4,11039.1,9939.09,10005,8040079872,1.79936E+11
23-02-2018,BTC,9937.07,10487.3,9734.56,10301.1,7739500032,1.67746E+11
24-02-2018,BTC,10287.7,10597.2,9546.97,9813.07,6917929984,1.73682E+11
25-02-2018,BTC,9796.42,9923.22,9407.06,9664.73,5706939904,1.65407E+11
26-02-2018,BTC,9669.43,10475,9501.73,10366.7,7287690240,1.63283E+11
27-02-2018,BTC,10393.9,10878.5,10246.1,10725.6,6966179840,1.75536E+11
28-02-2018,BTC,10687.2,11089.8,10393.1,10397.9,6936189952,1.8051E+11
01-03-2018,BTC,10385,11052.3,10352.7,10951,7317279744,1.75427E+11
02-03-2018,BTC,10977.4,11189,10850.1,11086.4,7620590080,1.85456E+11
03-03-2018,BTC,11101.9,11528.2,11002.4,11489.7,6690570240,1.87581E+11
04-03-2018,BTC,11497.4,11512.6,11136.1,11512.6,6084149760,1.94289E+11
05-03-2018,BTC,11532.4,11704.1,11443.9,11573.3,6468539904,1.94903E+11
06-03-2018,BTC,11500.1,11500.1,10694.3,10779.9,6832169984,1.94378E+11
07-03-2018,BTC,10803.9,10929.5,9692.12,9965.57,8797910016,1.82631E+11
08-03-2018,BTC,9951.44,10147.4,9335.87,9395.01,7186089984,1.68241E+11
09-03-2018,BTC,9414.69,9466.35,8513.03,9337.55,8704190464,1.59185E+11
10-03-2018,BTC,9350.59,9531.32,8828.47,8866,5386319872,1.58119E+11
11-03-2018,BTC,8852.78,9711.89,8607.12,9578.63,6296370176,1.49716E+11
12-03-2018,BTC,9602.93,9937.5,8956.43,9205.12,6457399808,1.62421E+11
13-03-2018,BTC,9173.04,9470.38,8958.19,9194.85,5991139840,1.55168E+11
14-03-2018,BTC,9214.65,9355.85,8068.59,8269.81,6438230016,1.55891E+11
15-03-2018,BTC,8290.76,8428.35,7783.05,8300.86,6834429952,1.40275E+11
16-03-2018,BTC,8322.91,8585.15,8005.31,8338.35,5289379840,1.40834E+11
17-03-2018,BTC,8321.91,8346.53,7812.82,7916.88,4426149888,1.40834E+11
18-03-2018,BTC,7890.52,8245.51,7397.99,8223.68,6639190016,1.33547E+11
19-03-2018,BTC,8344.12,8675.87,8182.4,8630.65,6729110016,1.4124E+11
20-03-2018,BTC,8619.67,9051.02,8389.89,8913.47,6361789952,1.45922E+11
21-03-2018,BTC,8937.48,9177.37,8846.33,8929.28,6043129856,1.51316E+11
22-03-2018,BTC,8939.44,9100.71,8564.9,8728.47,5530390016,1.51366E+11
23-03-2018,BTC,8736.25,8879.62,8360.62,8879.62,5954120192,1.47941E+11
24-03-2018,BTC,8901.95,8996.18,8665.7,8668.12,5664600064,1.50762E+11
25-03-2018,BTC,8612.81,8682.01,8449.1,8495.78,4569880064,1.45882E+11
26-03-2018,BTC,8498.47,8530.08,7921.43,8209.4,5921039872,1.4396E+11
27-03-2018,BTC,8200,8232.78,7797.28,7833.04,5378250240,1.38919E+11
28-03-2018,BTC,7836.83,8122.89,7809.17,7954.48,4935289856,1.32781E+11
29-03-2018,BTC,7979.07,7994.33,7081.38,7165.7,6361229824,1.35205E+11
30-03-2018,BTC,7171.45,7276.66,6683.93,6890.52,6289509888,1.21534E+11
31-03-2018,BTC,6892.48,7207.85,6863.52,6973.53,4553269760,1.1682E+11
01-04-2018,BTC,7003.06,7060.95,6526.87,6844.23,4532100096,1.18705E+11
02-04-2018,BTC,6844.86,7135.47,6816.58,7083.8,4333440000,1.16037E+11
03-04-2018,BTC,7102.26,7530.94,7072.49,7456.11,5499700224,1.20415E+11
04-04-2018,BTC,7456.41,7469.88,6803.88,6853.84,4936000000,1.26434E+11
05-04-2018,BTC,6848.65,6933.82,6644.8,6811.47,5639320064,1.16142E+11
06-04-2018,BTC,6815.96,6857.49,6575,6636.32,3766810112,1.15601E+11
07-04-2018,BTC,6630.51,7050.54,6630.51,6911.09,3976610048,1.12467E+11
08-04-2018,BTC,6919.98,7111.56,6919.98,7023.52,3652499968,1.17392E+11
09-04-2018,BTC,7044.32,7178.11,6661.99,6770.73,4894060032,1.19516E+11
10-04-2018,BTC,6795.44,6872.41,6704.15,6834.76,4272750080,1.15306E+11
11-04-2018,BTC,6843.47,6968.32,6817.59,6968.32,4641889792,1.16126E+11
12-04-2018,BTC,6955.38,7899.23,6806.51,7889.25,8906250240,1.18048E+11
13-04-2018,BTC,7901.09,8183.96,7758.93,7895.96,7764460032,1.34114E+11
14-04-2018,BTC,7874.67,8140.71,7846,7986.24,5191430144,1.33682E+11
15-04-2018,BTC,7999.33,8338.42,7999.33,8329.11,5244480000,1.35812E+11
16-04-2018,BTC,8337.57,8371.15,7925.73,8058.67,5631309824,1.41571E+11
17-04-2018,BTC,8071.66,8285.96,7881.72,7902.09,6900879872,1.3707E+11
18-04-2018,BTC,7944.43,8197.8,7886.01,8163.42,6529909760,1.34926E+11
19-04-2018,BTC,8159.27,8298.69,8138.78,8294.31,7063209984,1.38591E+11
20-04-2018,BTC,8286.88,8880.23,8244.54,8845.83,8438110208,1.40777E+11
21-04-2018,BTC,8848.79,8997.57,8652.15,8895.58,7548550144,1.50337E+11
22-04-2018,BTC,8925.06,9001.64,8779.61,8802.46,6629899776,1.51651E+11
23-04-2018,BTC,8794.39,8958.55,8788.81,8930.88,6925190144,1.49448E+11
24-04-2018,BTC,8934.34,9732.61,8927.83,9697.5,10678800384,1.51844E+11
25-04-2018,BTC,9701.03,9745.32,8799.84,8845.74,11083100160,1.64893E+11
26-04-2018,BTC,8867.32,9281.51,8727.09,9281.51,8970559488,1.50736E+11
27-04-2018,BTC,9290.63,9375.47,8987.05,8987.05,7566289920,1.57948E+11
28-04-2018,BTC,8939.27,9412.09,8931.99,9348.48,7805479936,1.51991E+11
